A		MARBLEHEAD
B		OBSERVED_EDITED
C		STAGE
E		
F		NOAA
Units		meters
Type		INST-VAL
1	12Jun2015  0000	174.388
2	12Jun2015  0006	174.384
3	12Jun2015  0012	174.377
4	12Jun2015  0018	174.384
5	12Jun2015  0024	174.369
6	12Jun2015  0030	174.371
7	12Jun2015  0036	174.376
8	12Jun2015  0042	174.357
9	12Jun2015  0048	174.347
10	12Jun2015  0054	174.370
11	12Jun2015  0100	174.404
12	12Jun2015  0106	174.400
13	12Jun2015  0112	174.421
14	12Jun2015  0118	174.423
15	12Jun2015  0124	174.435
16	12Jun2015  0130	174.427
17	12Jun2015  0136	174.415
18	12Jun2015  0142	174.424
19	12Jun2015  0148	174.442
20	12Jun2015  0154	174.455
21	12Jun2015  0200	174.454
22	12Jun2015  0206	174.477
23	12Jun2015  0212	174.472
24	12Jun2015  0218	174.465
25	12Jun2015  0224	174.490
26	12Jun2015  0230	174.503
27	12Jun2015  0236	174.485
28	12Jun2015  0242	174.489
29	12Jun2015  0248	174.457
30	12Jun2015  0254	174.482
31	12Jun2015  0300	174.464
32	12Jun2015  0306	174.456
33	12Jun2015  0312	174.434
34	12Jun2015  0318	174.453
35	12Jun2015  0324	174.479
36	12Jun2015  0330	174.469
37	12Jun2015  0336	174.476
38	12Jun2015  0342	174.474
39	12Jun2015  0348	174.465
40	12Jun2015  0354	174.432
41	12Jun2015  0400	174.457
42	12Jun2015  0406	174.449
43	12Jun2015  0412	174.482
44	12Jun2015  0418	174.507
45	12Jun2015  0424	174.498
46	12Jun2015  0430	174.503
47	12Jun2015  0436	174.509
48	12Jun2015  0442	174.498
49	12Jun2015  0448	174.508
50	12Jun2015  0454	174.473
51	12Jun2015  0500	174.491
52	12Jun2015  0506	174.514
53	12Jun2015  0512	174.529
54	12Jun2015  0518	174.534
55	12Jun2015  0524	174.502
56	12Jun2015  0530	174.499
57	12Jun2015  0536	174.481
58	12Jun2015  0542	174.475
59	12Jun2015  0548	174.457
60	12Jun2015  0554	174.467
61	12Jun2015  0600	174.480
62	12Jun2015  0606	174.512
63	12Jun2015  0612	174.520
64	12Jun2015  0618	174.506
65	12Jun2015  0624	174.510
66	12Jun2015  0630	174.495
67	12Jun2015  0636	174.514
68	12Jun2015  0642	174.501
69	12Jun2015  0648	174.504
70	12Jun2015  0654	174.507
71	12Jun2015  0700	174.532
72	12Jun2015  0706	174.500
73	12Jun2015  0712	174.516
74	12Jun2015  0718	174.531
75	12Jun2015  0724	174.521
76	12Jun2015  0730	174.530
77	12Jun2015  0736	174.537
78	12Jun2015  0742	174.504
79	12Jun2015  0748	174.536
80	12Jun2015  0754	174.540
81	12Jun2015  0800	174.550
82	12Jun2015  0806	174.525
83	12Jun2015  0812	174.534
84	12Jun2015  0818	174.532
85	12Jun2015  0824	174.538
86	12Jun2015  0830	174.523
87	12Jun2015  0836	174.540
88	12Jun2015  0842	174.532
89	12Jun2015  0848	174.539
90	12Jun2015  0854	174.567
91	12Jun2015  0900	174.589
92	12Jun2015  0906	174.575
93	12Jun2015  0912	174.563
94	12Jun2015  0918	174.562
95	12Jun2015  0924	174.557
96	12Jun2015  0930	174.561
97	12Jun2015  0936	174.575
98	12Jun2015  0942	174.538
99	12Jun2015  0948	174.506
100	12Jun2015  0954	174.475
101	12Jun2015  1000	174.516
102	12Jun2015  1006	174.508
103	12Jun2015  1012	174.513
104	12Jun2015  1018	174.513
105	12Jun2015  1024	174.517
106	12Jun2015  1030	174.542
107	12Jun2015  1036	174.516
108	12Jun2015  1042	174.515
109	12Jun2015  1048	174.523
110	12Jun2015  1054	174.487
111	12Jun2015  1100	174.513
112	12Jun2015  1106	174.522
113	12Jun2015  1112	174.511
114	12Jun2015  1118	174.512
115	12Jun2015  1124	174.497
116	12Jun2015  1130	174.492
117	12Jun2015  1136	174.481
